SORT,VarID,VarTitle,VarDefinition,VarCategory,VarType,Source,UserNotes,VarID_Code,Count,Code,CodeDescription,DoubleCoding_notes,ShortName
1,V1,Gender,The gender makeup of the singing group.,Function,Categorical,"Mullin, Lomax, et al. (1966-72); Wood (2021)",,1_NA,4,NA,Missing data,,Missing data
2,,,,,,,,1_1,397,1,Singers are men,,Men
3,,,,,,,,1_2,178,2,Singers are women,,Women
4,,,,,,,,1_3,0,3,"Singers are non-binary, third gender, or other gender indentity",,Non-binary/other
5,,,,,,,,1_4,108,4,Mixed gender singing group,,Mixed group
6,V2A,Function 1,Primary function of the song in the context of its performance in the culture.,Function,Categorical,"Mullin, Lomax, et al. (1966-72); Wood (2021)",,2A_NA,390,NA,Missing data,,Missing data
7,,,,,,,,2A_1,17,1,Ritual,,Ritl
8,,,,,,,,2A_2,0,2,Curing,,Cure
9,,,,,,,,2A_3,3,3,Initiation rites,,Ritin
10,,,,,,,,2A_4,2,4,Courtship,,Court
11,,,,,,,,2A_5,3,5,Marriage ceremonies,,Marry
12,,,,,,,,2A_6,5,6,"Death, e.g. laments.",,Death
13,,,,,,,,2A_7,10,7,"General work. Note that hunting, fishing, agricultural, gathering, pastoral are specifically defined elsewhere and should not be coded here.",,Work genl
14,,,,,,,,2A_8,0,8,"Signalling, e.g. hollers.",,Signl
15,,,,,,,,2A_9,5,9,War,,War
16,,,,,,,,2A_10,56,10,Dance,,Dance
17,,,,,,,,2A_11,4,11,"Merrymaking, e.g. games, gambling, drinking, and other amusements.",,Merry
18,,,,,,,,2A_12,12,12,"Calendrical, e.g. Saint’s days, Christian holidays, etc.",,Calen
19,,,,,,,,2A_13,5,13,Dramatic,,Drama
20,,,,,,,,2A_14,6,14,"Royal-- songs sung in praise of royalty or in the royal court, etc. ",,Royal
21,,,,,,,,2A_15,6,15,Self-delectative-- songs for self-amusement. ,,Selfd
22,,,,,,,,2A_16,31,16,"For passive listening, e.g. ballads and other narrative genres.",,Passv
23,,,,,,,,2A_30,66,30,"Narrative, e.g. ballads, epics, story songs. ",,Narr
24,,,,,,,,2A_31,0,31,Songs from dreams or about dreams.,,Dream
25,,,,,,,,2A_32,2,32,"Invocations of spirits, totem-animals, magical protection.",,Invoc
26,,,,,,,,2A_33,1,33,"Songs about or to animals, including fish and insects. Also includes plants (can be totem).",,Animals
27,,,,,,,,2A_34,0,34,Masculine-- songs about or pertaining to males when that is the main point. ,,Mascu
28,,,,,,,,2A_35,0,35,Feminine-- songs about or pertaining to females when that is the main point. ,,Femin
29,,,,,,,,2A_36,2,36,"Songs about features of landscape, geography, weather-- imagist songs, can be totem.",,Land
30,,,,,,,,2A_37,2,37,"Songs for or about children, except lullabies.",,Child
31,,,,,,,,2A_38,10,38,Lullabies ,,Lull
32,,,,,,,,2A_39,1,39,"Hunting or fishing (work songs, or songs pertaining to these activities).",,Game
33,,,,,,,,2A_40,2,40,"Agricultural (work songs, or songs pertaining to these activities).",,Agri
34,,,,,,,,2A_41,2,41,"Gathering (work songs, or songs pertaining to these activities).",,Gathr
35,,,,,,,,2A_42,0,42,"Pastoral (work songs, or songs pertaining to these activities).",,Pastr
36,,,,,,,,2A_43,0,43,Greeting songs,,Greet
37,,,,,,,,2A_44,20,44,"General praise songs, e.g. to God, oneself, or others.",,Prais
38,,,,,,,,2A_45,1,45,"Work songs involving men with hammers or sledges, e.g. chain gangs, stone quarry miners. ",,Gang
39,,,,,,,,2A_46,21,46,Love songs,,Love
40,,,,,,,,2A_50,0,50,Singer engaged in some light activity.,,Lite act
41,,,,,,,,2A_51,1,51,Singer engaged in some heavy activity.,,Hevy act
42,,,,,,,,2A_52,0,52,"Other, third, or non-binary gender - songs about or pertaining to a third or nonbinary gender identity, when that is the main point.",,Other gender
43,V2B,Function 2,Secondary function of the song in the context of its performance in the culture.,Function,Categorical,"Mullin, Lomax, et al. (1966-72); Wood (2021)",,2B_NA,670,NA,Missing data,,Missing data
44,,,,,,,,2B_1,0,1,Ritual,,Ritl
45,,,,,,,,2B_2,0,2,Curing,,Cure
46,,,,,,,,2B_3,0,3,Initiation rites,,Ritin
47,,,,,,,,2B_4,0,4,Courtship,,Court
48,,,,,,,,2B_5,0,5,Marriage ceremonies,,Marry
49,,,,,,,,2B_6,0,6,"Death, e.g. laments.",,Death
50,,,,,,,,2B_7,0,7,"General work. Note that hunting, fishing, agricultural, gathering, pastoral are specifically defined elsewhere and should not be coded here.",,Work genl
51,,,,,,,,2B_8,0,8,"Signalling, e.g. hollers.",,Signl
52,,,,,,,,2B_9,0,9,War,,War
53,,,,,,,,2B_10,0,10,Dance,,Dance
54,,,,,,,,2B_11,0,11,"Merrymaking, e.g. games, gambling, drinking, and other amusements.",,Merry
55,,,,,,,,2B_12,3,12,"Calendrical, e.g. Saint’s days, Christian holidays, etc.",,Calen
56,,,,,,,,2B_13,0,13,Dramatic,,Drama
57,,,,,,,,2B_14,0,14,"Royal-- songs sung in praise of royalty or in the royal court, etc. ",,Royal
58,,,,,,,,2B_15,2,15,Self-delectative-- songs for self-amusement. ,,Selfd
59,,,,,,,,2B_16,1,16,"For passive listening, e.g. ballads and other narrative genres.",,Passv
60,,,,,,,,2B_30,1,30,"Narrative, e.g. ballads, epics, story songs. ",,Narr
61,,,,,,,,2B_31,0,31,Songs from dreams or about dreams.,,Dream
62,,,,,,,,2B_32,0,32,"Invocations of spirits, totem-animals, magical protection.",,Invoc
63,,,,,,,,2B_33,4,33,"Songs about or to animals, including fish and insects. Also includes plants (can be totem).",,Animals
64,,,,,,,,2B_34,0,34,Masculine-- songs about or pertaining to males when that is the main point. ,,Mascu
65,,,,,,,,2B_35,0,35,Feminine-- songs about or pertaining to females when that is the main point. ,,Femin
66,,,,,,,,2B_36,0,36,"Songs about features of landscape, geography, weather-- imagist songs, can be totem.",,Land
67,,,,,,,,2B_37,0,37,"Songs for or about children, except lullabies.",,Child
68,,,,,,,,2B_38,0,38,Lullabies ,,Lull
69,,,,,,,,2B_39,0,39,"Hunting or fishing (work songs, or songs pertaining to these activities).",,Game
