P_id,CultureName_Speaker1,P_cid_Speaker1,CultureName_Speaker2,P_cid_Speaker2,Identifier_LomaxTape,Type_TapeCategory,Recording_Title,Tape_Description,Source_notes,Speech_Description,Monologue/Dialogue,Duration,Lomax_notes,Speakers_Gender/Number/Age,Speakers_Names,SubjectLanguage_SIL14,SubjectLanguage_SIL15,SubjectLanguage_SIL,SubjectLanguage_Given,SubjectDialect_Given,Researcher_Language,Location_Recorded,Coverage,Date,Contributor_Interviewer,Contributor_Researcher,Researcher_Affiliation,Contributor_Depositor,Contributor_Compiler,All_Languages_On_Tape,Source_Format,Audio_notes,ResourceID,Identifier_FileName,Format_Digital,Date_Digitized,Digitized.On,Priority,Digital audio notes,Rights_Online,Contact_Information,Resource_Type,Linguistic_Type,Parla_Accession_No,Old_Parla_Accession_No,C#,C#s_on_Tape,Lomax_Cat_#,Associated_Compilation_Tapes,Metadata_notes,Coding_notes,Source Tag
1,Lujere,62530,,,T5209,Raw audio,Namie Recordings,"Namie and Olo recordings sent from William E. Mitchell, affiliated with the University of Vermont, New Guinea Expedition.",,Namie speech,,,,,,NNM,nnm,Namia,Namie,,ENG,,,6-Apr-72,,William E. Mitchell,"University of Vermont, New Guinea Expedition",,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ",,A00161,TP5209R01,"24 bit, 96 kHz, uncompressed .wav",2005-12,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,46658,91,,,1074,,"This coding is listed as C91 on the computer coding printout, but this does not match tape index. No C#s on coding sheets.",,@ALA1972T5209
2,Wape,28456,,,T5209,Raw audio,Olo Recordings,"Namie and Olo recordings sent from William E. Mitchell, affiliated with the University of Vermont, New Guinea Expedition.",,Olo speech,,,,,,ONG,ong,Olo,Olo,,ENG,,,1972,,William E. Mitchell,"University of Vermont, New Guinea Expedition",,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ",,A00162,TP5209R02,"24 bit, 96 kHz, uncompressed .wav",2005-12,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,47170,92,,,1074,,"This coding is listed as C92 on the computer coding printout, but this does not match tape index. No C#s on coding sheets.",,@ALA1972T5209
3,Mara,19603,,,T5251,Raw audio,Native Speaker of the Lak language,"Native speaker of the Lak language, spoken in Dagestan. Lak recordings from Dr. Rose Nash of the Inter-American University, Puerto Rico, Department of English and Linguistics.",Rose Nash Collection of recordings made in the Soviet Union in 1970 at Herzen Pedagogical Institute,"1 female gives bio information, counts, and reads a story of the North Wind. (Beginning of sample is in Russian).",Monologue,,,1 female,,LBE,lbe,Lak,Lak,,ENG,"Herzen Pedagogical Institute, St. Petersburg, Russia (formerly Leningrad)",,1970,,Rose Nash,"Inter-American University, Puerto Rico, Department of English and Linguistics",,Alan Lomax,,"1/4"" wide magnetic audio tape.  2"" reel.  7.5 ips.  ",,A00240,TP5251R01,"24 bit, 96 kHz, uncompressed .wav",2005-01,Revox,I,,Permissions under negotiations,,Sound,Primary Text,8388932,518,518,,,T5011 - Monologue Compilation - Lak (Work compilation).,transcription available,,@ALA1970T5251 @ALA1971T5011
4,Havana Folk,14191,Mexico City,62498,T5080,Raw audio,United Nations sessions - Spanish,Alan Lomax Parlametrics - United Nations recordings made by Alan Lomax and his colleagues for Parlametrics.,"Original United Nation recordings made by Alan Lomax and his colleagues for Parlametrics. These are the original recordings, dubbed onto T5000-T5009 as C#s.",2 females chatting. Cuban woman claims she has no accent-- while Mexican retains some accent.,Dialogue,,Relaxed and animated. ,2 females,,,spa,Spanish,Spanish,,,,,1971-07,,Alan Lomax,,,Alan Lomax,"Greek, Spanish, Yugoslav, Dyala, Persian, Bura, Persian, Pushtu, Kurundi, Tagalog, Ilocano, French, Lutaro, Lutase, German","1/4"" wide magnetic audio tape.  7"" reel.  3.75 ips.  ",,A00276,TP5080R01,"24 bit, 96 kHz, uncompressed .wav",2005-02,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,3138,35,35a-b,"C34-C37, C42-C47, C516",,T5005 - UN Dialogue Compilation - Spanish (Work compilation).,Culture incorrectly listed as Castile on older data.,C35a and b used for same coding,@ALA1971T5080 @ALA1971T5005
5,Jibaro/ Boriqua,23970,,,,,,,,,,,,,,,spa,Spanish,Spanish,Puerto Rico,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,10819,170,,,,,Missing metadata and original coding sheets.,,
6,Jibaro/ Boriqua,23970,,,,,,,,,,,,,,,spa,Spanish,Spanish,Puerto Rico,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,11075,171,,,,,Missing metadata and original coding sheets.,,
7,Jibaro/ Boriqua,23970,,,,,,,,,,,,,,,spa,Spanish,Spanish,Puerto Rico,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,11331,172,,,,,Missing metadata and original coding sheets.,,
8,Brazil Unspecified,62529,,,T5074,Raw audio,United Nations sessions - Portuguese,Alan Lomax Parlametrics - United Nations recordings made by Alan Lomax and his colleagues for Parlametrics.,"Original United Nation recordings made by Alan Lomax and his colleagues for Parlametrics. These are the original recordings, dubbed onto T5000-T5009 as C#s.",2 males chatting. ,Dialogue,,Seemed somewhat nervous in the beginning-- end portion best.,"2 males, age 20",,,por,Portuguese,Portuguese,Brazilian,,,,1971-07,,Alan Lomax,,,Alan Lomax,"Sara, Chad, Nandi, Portuguese, Finnish, Khmer, Djerna, Indonesian","1/4"" wide magnetic audio tape.  7"" reel.  3.75 ips.  ",,A00265,TP5074R01,"24 bit, 96 kHz, uncompressed .wav",2005-02,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,32832,4,4,"C1-C8, C48",,T5000 - UN Dialogue Compilation - Portuguese (Work compilation).,Culture incorrectly listed as Tras-Os-Montes on older data.,,@ALA1971T5074 @ALA1971T5000
9,Diné (Navaho),22243,,,T5139,Raw audio,Shooting Way,"Side A: Navajo - Shooting Way, Lukachukai, Arizona (WA 2.7.282); Side B: Algonquin conversation and vocabulary from Bessie Stanley and Gladis Paul.",,Shooting Way Chants,,0:03:35,,,,NAV,nav,Navajo,Navajo,,ENG,"Lukachukai, Arizona","Lukachukai, Arizona",,,Bessie Stanley; Gladis Paul,,,Alan Lomax,Navajo; Algonquin,"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,A00055,TP5139R01,"24 bit, 96 kHz, uncompressed .wav",2005-10,Revox,I,,Permissions under negotiations,,Sound,Primary Text,63554,124,,,,T5139 - Shooting Way (Raw audio).,,,@ALANDT5139
10,Ewe,30163,,,T5082,Raw audio,Ewe Folktale,Alan Lomax Parlametrics - United Nations Recordings,"Original United Nation recordings made by Alan Lomax and his colleagues for Parlametrics. These are the original recordings, dubbed onto T5000-T5009 as C#s.",Folktale called Tortoise and Snake.,Monologue,,,"1 male, in his 30s",Mr. Pedanoce,EWE,ewe,Ewe,Ewe,Mina,ENG,,,1971-07,Alan Lomax,Alan Lomax,,,Alan Lomax,,"1/4"" wide magnetic audio tape.  7"" reel.  3.75 ips.  ",,A00280,TP5082R03,"24 bit, 96 kHz, uncompressed .wav",2005-02,,I,,Permissions under negotiations,,Sound,Primary Text,64579,504,504b,"C22b, C26, C20, C503, C504b, C500a",,T5003 - UN Monologue Compilation - Ewe (Work compilation).,,"C504a and b used for same coding, but on different tapes.",@ALA1971T5082 @ALA1971T5003
10,Ewe,30163,,,T5077,Raw audio,Ewe bargaining,Alan Lomax Parlametrics - United Nations Recordings,"Original United Nation recordings made by Alan Lomax and his colleagues for Parlametrics. These are the original recordings, dubbed onto T5000-T5009 as C#s.",Staged bargaining,Monologue,,,"1 male, in his 30s",Mr. Pedanou,EWE,ewe,Ewe,Ewe,,,,,1971-05-14,,Alan Lomax,,,Alan Lomax,,"1/4"" wide magnetic audio tape.  7"" reel.  3.75 ips.  ",,A00268,TP5077R01,"24 bit, 96 kHz, uncompressed .wav",2005-02,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,64579,504,504a,"C504a, C505-C506, C24",,T5003 - UN Monologue Compilation - Ewe (Work compilation).,,"C504a and b used for same coding, but on different tapes.",@ALA1971T5077 @ALA1971T5003
11,Tenetehara,26841,,,T5169,Raw audio,Guajajara,"Satere (Para) and Guajajajara recordings sent from Eunice Burgess, SIL Brazil.",,"A tale -- ""How the N--- stayed black""",Monologue,,,1 male,,GUB,gub,Guajajára,Guajajára,,,,,1971-10,,Eunice Burgess,SIL Brazil,SIL Brazil,Alan Lomax,Satere (Brazil); Guajajajara (Brazil),"1/4"" wide magnetic audio tape.  5"" reel.  7.5 ips.  ",,A00106,TP5169R02,"24 bit, 96 kHz, uncompressed .wav",2005-11,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,4196420,545,545,C75,1014c,T5017 - Monologue Compilation - Guajajara (Work compilation).,"Not all C#s on this tape listed, but it contains more than just C75.",,@ALA1971T5169 @ALANDT5017
12,Mebêngôkre,22045,,,T5148,Raw audio,Kayapo story,"Guajiro, Ojibwa, Makiritare, Noamana, and Cayapo dubs from Dr. Helmuth Fuchs tapes.",,Tataire tells how he hit the wasp's nest. ,Monologue,,,1 male,,TXU,txu,Kayapo,Kayapo,Txukuhamai,,"Porori, Brazil",Porori,1966,,Ruth Thompson (SIL),,Helmuth Fuchs,Alan Lomax,Guajiro; Ojibwa; Cayapo; Noamana; Makiritare,60 Minute Analog Cassette Tape. ,,A00318,TP5148R08,"24 bit, 96 kHz, uncompressed .wav",2005-02,Onkyo,I,,Permissions under negotiations,,Sound,Primary Text,4196164,541,541,"C540a-C540c, C541, C542, C67, C68a-C68b",900,,,,@ALA1966T5148
13,Nambiquara,22144,,,T5167,Raw audio,Mamainde (Mato Grosso),"Mamainde (Mato Grosso) recordings sent from Eunice Burgess, SIL Brazil.",,Mamainde dialogue.,Dialogue,,,"1 female, 1 male",,MBG,mbg,"Nambikuara, Northern (accent on the second a)",Mamainde,,,,"Mato Grosso, Brazil",1971-10,,Eunice Burgess,SIL Brazil,SIL Brazil,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ","Poor recording, voices distorted.",A00101,TP5167R01,"24 bit, 96 kHz, uncompressed .wav",2005-11,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,38466,75,75a-b,C75a-C75b,1014a,T5018 - Dialogue Compilation - Mamainde (Work compilation).,,C75a and b used for same coding.,@ALA1971T5167 @ALANDT5018
13,Nambiquara,22144,,,T5167,Raw audio,Mamainde (Mato Grosso) Side Two,"Mamainde (Mato Grosso) recordings sent from Eunice Burgess, SIL Brazil.",,Mamainde dialogue.,Dialogue,,,"1 female, 1 male",,MBG,mbg,"Nambikuara, Northern",Mamainde,,,,"Mato Grosso, Brazil",1971-10,,Eunice Burgess,SIL Brazil,SIL Brazil,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ","Poor recording, voices distorted.",A00102,TP5167R02,"24 bit, 96 kHz, uncompressed .wav",2005-11,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,38466,75,75a-b,C75a-C75b,1014a,T5018 - Dialogue Compilation - Mamainde (Work compilation).,,C75a and b used for same coding.,@ALA1971T5167 @ALANDT5018
14,Aymara,11133,,,T5156,Raw audio,Interview in Spanish and Aymara,"Martha Hardman De Bautista's tapes dubbed by Markel 8/2/71, includes Kawki, Aymara, Jagara.",,"Interview before a radio program ""Radio Cruz del Sur"".  Informants identified interviewe's speech as ""evangelist"" speech. ",Dialogue,,,2 females,,,aym,Aymara,Aymara,,SPN,,,1971-08-02,,Martha Hardman de Bautista,,,Alan Lomax,Kawki (Peru); Aymara (Bolivia); Jaqara (Peru),"1/4"" wide magnetic audio tape.  7"" reel.  3.75 ips.  ",,A00088,TP5156R04,"24 bit, 96 kHz, uncompressed .wav",2005-11,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,28738,60,60,C-60,907,T5010 - Dialogue Compilation - Aymara (Work compilation).,,,@ALA1971T5156 @ALA1971T5010
15,Jivaro,17667,,,T5149,Raw audio,Jivaro from Cassette 65d,Jivaro recordings from Ecuador sent from Glen Turner of SIL Ecuador.,,2 females investigating each other's familial relationships. ,Dialogue,0:03:40,Slightly more self conscious than other samples.,"2 females, age 25-35",,JIV,jiv,Shuar,Jivaro,,,,,,,Glen Turner,SIL Ecuador,SIL,Alan Lomax,,"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,A00068,TP5149R04,"24 bit, 96 kHz, uncompressed .wav",2005-10,Revox,I,,Permissions under negotiations,,Sound,Primary Text,33346,65,65d,C-65d,901,T5039 - Nuclear America Compilation - Jivaro (Area compilation); T5013 - Dialogue Compilation - Jivaro (Work compilation).,,C65a-d used for same coding,@ALANDT5149 @ALANDT5039 @ALA1971T5013
