P_id,Parla_Accession_No,Parla_Language_Name,Culture,P_cid,Culture_2,P_cid_2,Parla_V1,Parla_V2,Parla_V3,Parla_V4,Parla_V5,Parla_V6,Parla_V7,Parla_V8,Parla_V9A,Parla_V9B,Parla_V9C,Parla_V10,Parla_V11,Parla_V12A,Parla_V12B,Parla_V13,Parla_V14,Parla_V15,Parla_V16,Parla_V17,Parla_V18,Parla_V19,Parla_V20,Parla_V21,Parla_V22,Parla_V23,Parla_V24,Parla_V25,Parla_V26,Parla_V27,Parla_V28,Parla_V29,Parla_V30,Parla_V31,Parla_V32,Parla_V33,Parla_V34,Parla_V35,Parla_V36,Parla_V37,Parla_V38,Parla_V39,Parla_V40,Parla_V41,Parla_V42,Parla_V43,Parla_V44,Parla_V45,Parla_V46,Parla_V47,Parla_V48,Parla_V49,Parla_Real1,Parla_Real2,Parla_Real3,Parla_Real4,Parla_Real5,Parla_Real6,Parla_Real7,Parla_Real8,Parla_Coder,Parla_Active
177,51265,Ga,Ga,15621,,,48,6,4,8,16,32,16,16,8,2,4,4,8,4,0,52,6,8,16,4,4,4,8,8,32,8,16,16,16,8,12,4,2,12,32,0,8,20,4,8,-128,4,16,8,8,8,24,4,2,2,4,0,33346,57408,36928,16448,32831,64,16449,28737,,1
138,15426,French,Paris,28568,,,32,20,4,12,24,32,2,32,4,8,2,8,48,32,0,8,8,32,12,6,2,2,2,6,48,2,8,24,16,16,48,2,2,12,16,4,2,4,2,8,-128,324,4,8,16,4,6,2,6,2,2,4,47170,4162,41024,64,16448,32831,6210,66,,1
23,5443,English,Haiti,16446,,,0,4,4,4,8,8,8,128,2,4,2,8,4,4,0,4,2,16,4,2,4,4,2,8,16,2,0,0,0,0,0,4,2,8,8,2,16,2,16,2,-128,4,20,4,8,4,2,4,2,2,2,2,66,41024,65,49215,64,32831,24641,16449,,1
22,5187,Haitian Creole,Haiti,16446,,,0,4,4,4,8,16,16,32,2,2,4,8,4,2,8,4,4,8,4,2,4,4,2,8,16,4,0,0,0,8,0,4,2,8,8,4,16,2,16,2,-128,4,4,8,8,4,2,4,4,2,2,4,17474,49216,41024,32831,49215,8256,65,34881,,1
182,12354,Kirundi,Rundi Unspecified,62544,,,32,2,2,24,2,4,128,16,4,2,8,8,2,2,0,24,2,2,2,2,2,2,8,24,4,2,4,4,4,4,4,2,2,24,16,12,8,12,12,8,-128,16,4,4,4,4,2,2,4,2,2,2,49217,0,32832,64,32831,16448,41024,16448,,1
179,59457,Ibo,Igbo,16996,,,16,20,4,28,24,2,4,8,2,4,0,2,16,32,0,4,4,24,16,12,4,4,4,8,48,8,40,48,16,8,24,4,2,24,32,0,16,16,24,8,-124,4,16,8,8,12,4,4,2,4,4,4,8257,64,16448,32831,64,32959,8258,6210,,1
116,28737,Armenian,Israeli Jews,17700,Syria,26346,48,4,12,12,16,4,4,16,2,4,2,4,8,16,0,24,4,4,4,2,4,2,4,4,16,12,8,16,16,24,24,6,6,16,12,4,10,12,10,8,-124,256,40,8,8,4,6,2,6,2,4,2,53313,41024,32832,49215,64,63,45121,49217,,1
176,32833,Twi/Fante,Fante,15280,,,32,20,4,12,10,2,8,16,2,4,8,4,16,32,16,28,12,12,16,6,2,2,6,6,48,6,24,24,16,20,8,4,2,8,16,4,20,32,6,8,-124,64,16,12,8,8,12,4,2,2,2,4,16449,64,32832,32831,64,16448,18498,51265,,1
158,20545,Teso,Teso,26907,,,16,2,8,12,10,4,16,32,2,4,8,4,24,4,0,4,4,4,4,4,2,6,4,4,32,4,8,16,8,12,24,4,2,4,12,4,12,24,4,8,-124,260,16,8,12,8,8,6,2,2,6,4,49217,16448,41024,32831,64,24640,20545,16449,,1
63,66,Tagalog,Tagalog,26368,,,32,20,2,24,8,4,8,8,2,2,4,8,4,8,0,2,6,8,4,2,12,12,24,16,16,4,24,48,48,12,6,2,4,24,32,20,4,48,12,8,-124,256,32,2,8,4,2,2,6,6,4,4,41025,16448,16448,63,32831,64,41025,28737,,1
