M-id,C-id,Local_lat,Local_long,Region,Division,Subregion,Area/Kingdom,Culture,Culture_loc,M_cid,Audio_notes,Duration,Audio_file,Archival_source#,Song,Genre,Song_notes,Performers,Instruments,Lyrics,Living_metadata,Recorded_by,Year,Publisher,Publcation_collection,Repository,Classification_notes,Audio_file_Pending,Metadata_notes,Source_Notes,Source Tag
0001,2038,-54.04,-68.57,South America,S South America,Patagonia,Tierra del Fuego,Selk'nam,"Isla Grande de Tierra del Fuego, Patagonia, South America",23112,Poor Audio; very grainy,0:00:38,T5401R10m,"T1362.9,M1 1",Medicine Man Song,Shaman Song,Shaman song,"Male solo, drum",Male Voice; Drum,,,Charles Willington Furlong,1907-1908 ,Previously Unpublished,"Fuegian Songs. Furlong, Charles. Side A MK.11.","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,Copied by Paul Zeller for the Stefansson Collection (Received 4/10/62),@CFP1962FuegianSongs
0002,2036,-54.04,-68.57,South America,S South America,Patagonia,Tierra del Fuego,Selk'nam,"Isla Grande de Tierra del Fuego, Patagonia, South America",23112,Poor Audio; very grainy,0:00:56,T5401R08m,T1362.B,Shaman's chant,Shaman Song,Male soloist with vocables,"Male solo, shaker",Male Voice; Shaker,,,Charles Willington Furlong,1907-1908 ,Previously Unpublished,"Fuegian Songs. Furlong, Charles. Side A MK.10.","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,"On Minutage Coding Sheet, the source # is given as T1362.A1. However, the coding sheet also matches this song with C-id 2036. I believe the different source #s are due to an error or difference in formatting and they correspond to the same song.",Copied by Paul Zeller for the Stefansson Collection (Received 4/10/62),@CFP1962FuegianSongs
0003,2041,-54.04,-68.57,South America,S South America,Patagonia,Tierra del Fuego,Selk'nam,"Isla Grande de Tierra del Fuego, Patagonia, South America",23112,Poor Audio; very grainy,0:01:08,T5401R13m,"T1362.5,M7",Selk'nam Song 2,,Male soloist with vocables,Male solo,Male Voice,,,Charles Willington Furlong,1907-1908 ,Previously Unpublished,"Fuegian Songs. Furlong, Charles. Side A MK.7.","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,Copied by Paul Zeller for the Stefansson Collection (Received 4/10/62),@CFP1962FuegianSongs
0004,2040,-54.04,-68.57,South America,S South America,Patagonia,Tierra del Fuego,Selk'nam,"Isla Grande de Tierra del Fuego, Patagonia, South America",23112,Poor Audio; very grainy,0:00:45,T5401R12m,"T1362.5,M8",Selk'nam Song 3,,Male soloist with vocables,Male solo,Male Voice,,,Charles Willington Furlong,1907-1908 ,Previously Unpublished,"Fuegian Songs. Furlong, Charles. Side A MK.8.","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,"On Minutage Coding Sheet, the source # is given as T1365.5B. However, the coding sheet also matches this song with C-id 2040. I believe the source # on the coding sheet is an error, since T1365 corresponds to a tape of Apache songs.",Copied by Paul Zeller for the Stefansson Collection (Received 4/10/62),@CFP1962FuegianSongs
0005,2039,-54.04,-68.57,South America,S South America,Patagonia,Tierra del Fuego,Selk'nam,"Isla Grande de Tierra del Fuego, Patagonia, South America",23112,Poor Audio; very grainy,0:01:34,T5401R11m,"T1362.9,M1 0",Medicine Man Song,Shaman Song,Shaman song,"Male solo, drum",Male Voice; Drum,,,Charles Willington Furlong,1907-1908 ,Previously Unpublished,"Fuegian Songs. Furlong, Charles. Side A MK.10.","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,Copied by Paul Zeller for the Stefansson Collection (Received 4/10/62),@CFP1962FuegianSongs
0006,2037,-54.04,-68.57,South America,S South America,Patagonia,Tierra del Fuego,Selk'nam,"Isla Grande de Tierra del Fuego, Patagonia, South America",23112,Poor Audio; very grainy,0:00:49,T5401R09m,"T1362.11,M13",Yahgan Song 4,,Yahgan song by an English missionary,Male solo,Male Voice,,,Charles Willington Furlong,1907-1908 ,Previously Unpublished,"Fuegian Songs. Furlong, Charles. Side A.MK.13.","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,Copied by Paul Zeller for the Stefansson Collection (Received 4/10/62),@CFP1962FuegianSongs
0007,2497,-13.28,-71.2,South America,N W South America,C Andes,Cuzco Dept,Q'ero,"Q'eros, Peru",62301,,0:00:58,T5488R10,"1A40.II,5B; T1735.25",Pallcha-Cashui Taiki,Easter Song,"From a big family party, sung at Easter time",Man and wife,Male Voice; Female Voice,,,John Cohen,1964,Smithsonian Folkways,"Mountain Music of Peru. Ethnic Folkways Library FE4539, 1966","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,This record is a two LP set.; http://www.folkways.si.edu/TrackDetails.aspx?itemid=28668,@FW1966MountainMusicOfPeruI
0008,2498,-13.28,-71.2,South America,N W South America,C Andes,Cuzco Dept,Q'ero,"Q'eros, Peru",62301,,0:02:10,T5488R11,"1A40.II,4B; T1735.22",Chants and Narrative During Ceremony for Marking Animals,Chant; Narrative Song,"Woman swaying and rattling ropes and bells, singing of the time when the Q'eros had to travel to Cuzco to work for the haciendas","Female solo, bells and rope",Female Voice; Bells; Rope,,,John Cohen,1964,Smithsonian Folkways,"Mountain Music of Peru. Ethnic Folkways Library FE4539, 1966","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,Note: DAT T5540 is missing: audio missing.; http://www.folkways.si.edu/TrackDetails.aspx?itemid=41672,@FW1966MountainMusicOfPeruI
0009,2499,-15.04,-70.36,South America,N W South America,C Andes,Cuzco Dept,S Peruvian Quechua,"Pucara, Peru",24091,,0:01:01,T5488R12,"1A40.II,4A; T1735.21",Chants and Narrative During Ceremony for Marking Animals,Chant; Narrative Song; Animal Song,"Chant, male soloist tells story of how a llama carrying a load of metal cans tricked the Spanish army into thinking an enemy army approached their camp, and thus ran away, conceding the final battle to the native peoples","Male solo, trumpet",Male Voice; Trumpet,,,John Cohen,1964,Smithsonian Folkways,"Mountain Music of Peru. Ethnic Folkways Library FE4539, 1966","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,This record is a two LP set.; http://www.folkways.si.edu/TrackDetails.aspx?itemid=28665,@FW1966MountainMusicOfPeruI
0010,2500,-13.28,-71.2,South America,N W South America,C Andes,Cuzco Dept,Q'ero,"Q'eros, Peru",62301,,0:00:53,T5488R13,"1A40.II,4E, T1735.19; WFS2A.7",Wallata,Animal Song,Wallata are the wild geese that fly in pairs throughout the high mountains in Q'eros,"Domingo Chompi, Louisa Sera Chompi",Male Voice; Female Voice,,,John Cohen,1964,Smithsonian Folkways,"Mountain Music of Peru. Ethnic Folkways Library FE4539, 1966","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,This record is a two LP set.; http://www.folkways.si.edu/TrackDetails.aspx?itemid=28652,@FW1966MountainMusicOfPeruI
