Society_latitude,Society_longitude,Area_latitude,Area_longitude,Region,Division,Subregion,Area,society,alternative_names,People,People2,People3,Arensberglomax_clusters,Focal_years,cantometrics_samplesize,minutage_samplesize,parlametrics_samplesize,phonotactics_samplesize,Koppen_climate_terrain,Koppen_code,Arensberglomax_taxon,Taxon_id,Language,Language_nearsubfamily,Language_largersubfamily,Language_family,Language_familytree,ISO6393,Glottocode,Country,Country_id,society_id,C_cid,M_cid,P_cid,Ph_cid,Ch_cid,dplace_id,EA_cu_name,EA_cu# UPDATE,Murdock_cu#,EA_Prov_name,EA_Prov_#,EA_#,Culture_Wiki,Society_summary,Notes_1,Notes_2,Culture Sources
1.17,28.76,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo",Forest Bira,Kango; Bakango; Batchua; Bila,Old Bomokandian,Benue Congo Peoples,West & Central African Peoples,Tropical Gardeners,1954,2,1,,,Tropical Savannah,Aw,AH-Tropical Forest,scfal721,Bila,Old Bomokandian,Narrow Bantu,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu, Old Bomokandian, Komoic, Bila-Kaiku",ISO 639-3: bip,bila1255,Democratic Republic of the Congo,,15412,15412,15412,,,,,FOREST BIRA,Ae30,15412,Northern Equatorial Bantu,16,59951,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottobila1255 @Ethnobip @WikiBila  
1.64,26.41,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",BaNguana,BaTambatamba; BaNgwana,Arabized N Equatorial Bantu,Swahilian Peoples,West & Central African Peoples,Tropical Gardeners; Traders,1958,2,4,,,"Monsoon, Tropical Savannah","Am, Aw",,,Kiswahili,Northeast Coastal Bantu,Narrow Bantu,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Sabaki-Swahili, Mombasa-Lamu-Inland Swahili, Swahili",ISO 639-3: swh,swah1254,Democratic Republic of the Congo,,11600,11600,11600,,,,,BANGUANA,,11600,,,,wiki,"Formerly Zanzibar Arabs, the BaNguana were involved in the slave trade, and settled near hunter-gatherers in Ituri Forest.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap    @WikiIturiProvince @Glottoswah1254 @Ethnoswh
3.01,30.92,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",Mbuti,Bambuti,Efe,African Hunter-Gatherers,West & Central African Peoples,African Gatherers,1958; 1950s; 1952-53; 1952-57; 1954-58,13,4,1,,"Monsoon, Tropical Savannah","Am, Aw",C-Africa,scfal6,Asoa,Mangbetuic,Mangbetu-Asua,Central Sudanic,"Central Sudanic, Mangbetu-Asua, Mangbetuic",ISO 639-3: asv,asoa1238,Democratic Republic of the Congo,,21132,21132,21132,21132,,21132,,MBUTI,Aa5,21132,Pygmies,15,35922,wiki,"The Mbuti are one of several native forest-dwelling hunter-gatherer (""pygmy"") groups in Africa's Congo region. The Mbuti people inhabit in the Ituri Forest, a tropical rainforest. They are mainly hunter-gatherers.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottoasoa1238 @Ethnoasv @WikiMbuti  
3.16,11.64,2.17,11.34,Africa,Central Africa,W Equatorial Coast,S Cameroon/ Equatorial Guinea/ N Gabon,Bulu,Boulou; Beti-Pahuin,Beti-Pahuin W Equatorial Bantu,Fang Peoples,West & Central African Peoples,Tropical Gardeners,1954,13,10,,10,"Tropical Savannah, Monsoon","Aw, Am",AH-Tropical Forest,scfal725,Bulu (Cameroon),Yaunde-Fang,Narrow Bantu,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Yaunde-Fang",ISO 639-3: bum,bulu1251,Cameroon; Equatorial Guinea; Gabon,,12783,12783,12783,,12783,,,BULU,,12783,,,61233,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottobulu1251 @Ethnobum @WikiBeti-Pahuin  
-1.57,29.64,-2.81,29.05,Africa,East Africa,Great Lakes Africa,Burundi/ E Congo/ Rwanda,Tutsi,Abatutsi; Imfure; Wahuma; Wahima; Watutsi,Banyarwanda-Barundi E Bantu,,East African Peoples,Tropical Gardeners,1935-36,10,6,,,Tropical Savannah,Aw,AH-Savannah,scfal915,Rwanda-Rundi (also known as West Highlands Kivu),Great Lakes Bantu,Narrow Bantu,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu, Kivu",,rwan1241,Rwanda,,27781,27781,27781,,,27781,,RUANDA,Ae10,27781,Lacustrine Bantu,13,34156,wiki,"The Tutsi are the second largest ethnic group in Rwanda. Skilled warriors, they dominated the resident Hutu people. Tensions between them were exacerbated by European rule, under which Tutsis were favored. A civil war in 1994 killed about 1 million Tutsis. Tutsis traditionally made their living by owning cattle, which represented wealth and prestige. While most Tutsi today are Christian, they still practice their ancient traditions, believing that their ancestors watch over them and are intermediaries, carrying messages between the creator and the human world.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottorwan1241  @WikiTutsi  
-3.34,37.34,-3.07,37.36,Africa,East Africa,Great Lakes Africa,"Mt Kilimanjaro, N E Tanzania",Chagga,Chaga; Wachaga; Jagga; Dschagga,Mt Kilamanjaro Bantu,,East African Peoples,Tropical Gardeners,1950,10,10,,,Tropical Savannah,Aw,AH-Savannah,scfal812,Chaga,Kilimanjaro-Taita,Narrow Bantu,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu, Kilimanjaro Bantu",,chag1250,Tanzania,,13388,13388,13388,,,,,CHAGGA,Ad3,13388,Kenya Highlands Bantu,12,19508,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottochag1250  @WikiChaga  
-0.93,34.49,-0.98,33.95,Africa,East Africa,Great Lakes Africa,W Kenya/ N Tanzania/ N Uganda,Luo,Joluo; Kavirondo,E Luo Nilotes,,East African Peoples,African Pastoralists,1950,12,10,,,"Tropical Rainforest, Monsoon","Af, Am",AH-Savannah,scfal876,Luo (Kenya and Tanzania),Luo-Burun,Western Nilotic,Nilotic,"Nilotic, Western Nilotic, Luo-Burun, Southern Lwoo, Adhola-Alur-Luo, Adhola-Luo",ISO 639-3: luo,luok1236,Tanzania,,20241,20241,20241,,,,,LUO,Aj6,20241,Northern Nilotes,37,4431,wiki,"The Luo are the third largest ethnic group in Kenya. They are known as excellent fishermen, but also engage in farming and pastoral herding. Luo men have a separate hut where they discuss political and community issues and women are not allowed. Although most Luo are Christians, they hold to their traditional belief that the spirit of their ancestors reside in heaven and communicate with them through dreams. Misfortune may be caused by troublesome spirits who feel they are not properly remembered.The Luo live on flatlands close to L Victoria in W Kenya and N Tanzania. They are fishermen and also settled agriculturists. Commonly, each Luo group is an sovereign political unit governed by a superior clan or lineage.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottoluok1236 @Ethnoluo @WikiLuo  
11.71,39.54,10.87,39.68,Africa,East Africa,Horn of Africa,Highland Ethiopia,Amhara,"Āmara; Amara, Abyssinians",Ethiopian Semitic Peoples,,East African Peoples,Old Eurasia,1943; 1955; 1972; 1960's-70's;,18,10,,,"Tropical Savannah, Warm Mediterranean, Temperate Mediterranean, Humid Subtropical, Humid Subtropical Oceanic Highland","Aw, Csa, Csb, Cwa, Cwb",PA-Europe,scfal1085,Amharic,Ethiosemitic,Semitic,Afro-Asiatic,"Afro-Asiatic, Semitic, Ethiosemitic, South Ethiopic, Transversal South Ethiopic, Amharic-Argobba",ISO 639-3: amh,amha1245,Ethiopia,,10495,10495,10495,,,10495,,AMHARA,Ca7,10495,Central Ethiopia,42,65320,wiki,"The Amhara are an ancient people inhabiting the northern and central highlands of Ethiopia, mainly the Amhara Region. They have lived in this region for over 2,000 years. Amhara who live in the highlands are mostly farmers producing corn, wheat, barley, sorghum, and teff, while those living in the lowlands are farmers and herders of cattle, sheep, and goats. Their society is patrilineal and married sons build their homes near their fathers. Girls are married as young as 14 to older men. They have large families with children helping to farm and tend animals.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottoamha1245 @Ethnoamh @WikiAmhara  
-21.14,47.14,-19.96,46.41,Africa,East Africa,Indian Ocean Islands,Madagascar C Highlands,Betsileo,,Highland Malagasy Peoples,,East African Peoples,Tropical Gardeners,1962,9,8,,,"Humid Subtropical, Tropical Savannah   ","Cwa, Aw",AH-Savannah,scfal807,Malagasy,Malagasic,Malayo-Polynesian,Austronesian,"Austronesian, Malayo-Polynesian, Greater Barito",ISO 639-3: mlg,mala1537,Madagascar,,12112,12112,12112,,,,,BETSILEO,Eh10,12112,,,20527,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottomala1537 @Ethnomlg @WikiBetsileo  
-18.02,46.91,-19.96,46.41,Africa,East Africa,Indian Ocean Islands,Madagascar C Highlands,Merina,Highland Malagasy,Highland Malagasy Peoples,,East African Peoples,Tropical Gardeners,1962,10,1,1,,Humid Subtropical Oceanic Highland,Cwb,AH-Sudan,scfal671,Merina,Malagasic,Malayo-Polynesian,Austronesian,"Austronesian, Malayo-Polynesian, Greater Barito, Southeast Barito, Malagasic, Central Malagasic, Northeast Central Malagasic, Bara-Merina, Plateau Malagasy",,meri1243,Madagascar,,21242,21242,21242,21242,,21242,,MERINA,Eh2,21242,Malagasy,8,64082,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottomeri1243  @WikiMerina  
